"ID Seller";Seller;"ID Produto";"SKU Seller";EAN;Nome;Estoque;"Preço de";"Preço por";Status;Departamento;Categoria;Subcategoria;Match;"Histórico de validação";"Prazo expedição";"Tabela de frete"
52;"MPOZENATO ";345579036;SKU_660084479;7908816327560;"Poltrona do Papai Reclinável Kalie Elétrica Botão Led Fh9 Pu Vermelho - Mpozenato";500,00;9513,72;6944,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";377626047;SKU_660084485;7908816327591;"Poltrona do Papai Reclinável Kalie Elétrica Botão Led Fh9 Pu Verde Musgo - Mpozenato";500,00;10110,56;7380,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";430629557;SKU_660084529;7908816327812;"Poltrona do Papai Reclinável Kalie Elétrica Botão Led Massagem Fh9 Pu Branco - Mpozenato";500,00;10517,99;7677,90;Ativo;"Beleza e Saúde";Massageadores;"Cadeiras e Poltronas Massageadoras";Não;;45;Normal
52;"MPOZENATO ";386652785;SKU_660084477;7908816327553;"Poltrona do Papai Reclinável Kalie Elétrica Botão Led Fh9 Pu Cinza - Mpozenato";500,00;9513,72;6944,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";559047709;SKU_660084507;7908816327706;"Poltrona do Papai Reclinável Kalie Elétrica Botão Led Fh9 Pu Marrom Brilho - Mpozenato";500,00;9803,21;7155,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";612895365;SKU_660084555;7908816327942;"Poltrona do Papai Reclinável Kalie Elétrica Botão Led Massagem Fh9 Pu Preto - Mpozenato";500,00;10821,77;7899,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";655988590;SKU_660084503;7908816327683;"Poltrona do Papai Reclinável Kalie Elétrica Botão Led Fh9 Pu Caramelo Brilho - Mpozenato";500,00;9803,21;7155,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";645694093;SKU_660084483;7908816327584;"Poltrona do Papai Reclinável Kalie Elétrica Botão Led Fh9 Pu Whisky - Mpozenato";500,00;10110,56;7380,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";706112927;SKU_660089267;7908816343317;"Poltrona Decorativa Living Kit 02 Montez M22 Veludo Bege - Mpozenato";0,00;8384,57;6120,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;30;Normal
52;"MPOZENATO ";780685946;SKU_660084473;7908816327539;"Poltrona do Papai Reclinável Kalie Elétrica Botão Led Fh9 Linho Grafite - Mpozenato";500,00;9377,91;6845,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
52;"MPOZENATO ";915643570;SKU_660084533;7908816327836;"Poltrona do Papai Reclinável Kalie Elétrica Botão Led Massagem Fh9 Pu Whisky - Mpozenato";500,00;11143,42;8134,90;Ativo;Móveis;Móveis;"Móveis para Sala de Estar";Não;;45;Normal
